"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2025","3.32","3.37","3.45","3.32","9.94M","0.00%"
"12/29/2024","3.32","3.32","3.37","3.12","12.83M","0.30%"
"12/22/2024","3.31","3.66","3.70","3.28","15.78M","-9.32%"
"12/15/2024","3.65","3.82","3.86","3.60","20.21M","-3.72%"
"12/08/2024","3.79","3.85","4.18","3.79","17.45M","-0.83%"
"12/01/2024","3.82","3.66","3.92","3.64","26.35M","5.69%"
"11/24/2024","3.62","3.79","3.80","3.54","13.93M","-3.79%"
"11/17/2024","3.76","3.94","3.94","3.68","19.47M","-4.30%"
"11/10/2024","3.93","3.89","4.03","3.85","40.28M","2.20%"
"11/03/2024","3.84","3.99","4.00","3.83","25.13M","-2.93%"
"10/27/2024","3.96","4.01","4.11","3.88","19.63M","-1.06%"
"10/20/2024","4.00","3.84","4.21","3.66","39.32M","4.12%"
"10/13/2024","3.84","3.98","4.05","3.82","21.06M","-1.62%"
"10/06/2024","3.91","4.11","4.25","3.83","30.78M","-3.52%"
"09/29/2024","4.05","3.89","4.14","3.84","56.46M","4.21%"
"09/22/2024","3.89","3.77","3.96","3.76","43.79M","3.52%"
"09/15/2024","3.75","3.75","3.82","3.65","14.29M","0.71%"
"09/08/2024","3.73","3.86","3.86","3.67","18.30M","-2.75%"
"09/01/2024","3.83","3.64","3.89","3.64","48.98M","5.83%"
"08/25/2024","3.62","3.72","3.74","3.54","24.41M","-1.44%"
"08/18/2024","3.67","3.54","3.72","3.52","19.00M","4.19%"
"08/11/2024","3.53","3.58","3.66","3.43","18.46M","0.75%"
"08/04/2024","3.50","3.88","3.88","3.20","27.81M","-10.53%"
"07/28/2024","3.91","3.94","4.08","3.85","24.14M","-0.40%"
"07/21/2024","3.93","4.07","4.09","3.91","23.07M","-2.75%"
"07/14/2024","4.04","3.52","4.10","3.50","100.78M","15.38%"
"07/07/2024","3.50","3.52","3.60","3.42","22.54M","-0.30%"
"06/30/2024","3.51","3.41","3.57","3.41","27.86M","3.74%"
"06/23/2024","3.38","3.36","3.46","3.32","21.97M","1.75%"
"06/09/2024","3.33","3.12","3.35","2.99","33.24M","7.51%"
"06/02/2024","3.09","3.22","3.25","3.08","11.42M","-3.62%"
"05/26/2024","3.21","3.27","3.38","3.19","15.67M","-1.78%"
"05/19/2024","3.27","3.21","3.34","3.21","22.61M","2.48%"
"05/12/2024","3.19","3.35","3.36","2.65","26.18M","-4.43%"
"05/05/2024","3.34","3.38","3.48","3.22","6.89M","-1.25%"
"04/28/2024","3.38","3.70","3.70","3.09","21.58M","-7.78%"
"04/21/2024","3.66","3.69","4.06","3.54","34.70M","-0.57%"
"04/14/2024","3.69","3.65","3.93","3.54","24.84M","1.01%"
"04/07/2024","3.65","3.59","3.72","3.57","6.52M","1.62%"
"03/31/2024","3.59","3.51","3.59","3.20","14.20M","2.41%"
"03/24/2024","3.51","3.75","3.83","3.47","14.75M","-6.61%"
"03/17/2024","3.75","3.93","4.03","3.41","18.11M","-4.44%"
"03/10/2024","3.93","4.23","4.38","3.76","23.76M","-7.12%"
"03/03/2024","4.23","4.45","4.68","4.14","44.08M","-4.98%"
"02/25/2024","4.45","4.67","4.73","4.40","73.68M","-4.64%"
"02/18/2024","4.67","4.56","4.88","4.61","112.93M","2.43%"
"02/11/2024","4.56","4.49","4.68","4.30","90.38M","1.53%"
"02/04/2024","4.49","4.22","4.70","4.17","142.63M","6.25%"
"01/28/2024","4.22","4.25","4.50","3.88","85.69M","0.63%"
"01/21/2024","4.20","4.07","4.44","4.04","96.79M","3.92%"
"01/14/2024","4.04","4.16","4.25","4.01","40.39M","-1.92%"
"01/07/2024","4.12","4.21","4.25","4.10","24.79M","-1.14%"
"12/31/2023","4.17","3.91","4.26","3.84","35.02M","7.64%"
"12/24/2023","3.87","3.98","3.99","3.70","31.43M","-1.74%"
"12/17/2023","3.94","4.17","4.29","3.90","47.41M","-4.60%"
"12/10/2023","4.13","4.30","4.33","3.84","70.01M","-3.58%"
"12/03/2023","4.28","4.30","4.64","4.18","134.37M","0.75%"
"11/26/2023","4.25","4.36","4.50","4.14","184.25M","-1.35%"
"11/19/2023","4.31","4.04","4.38","3.80","209.50M","6.95%"
"11/12/2023","4.03","3.83","4.22","3.79","198.72M","6.71%"
"11/05/2023","3.78","3.24","3.93","3.19","169.23M","18.38%"
"10/29/2023","3.19","3.13","3.28","2.98","65.57M","4.68%"
"10/22/2023","3.05","2.94","3.12","2.89","40.50M","7.05%"
"10/15/2023","2.85","2.76","2.96","2.67","23.48M","3.45%"
"10/08/2023","2.75","2.86","2.89","2.51","14.27M","-3.52%"
"10/01/2023","2.85","2.95","2.98","2.81","11.15M","-3.40%"
"09/24/2023","2.95","3.01","3.04","2.91","16.60M","-1.58%"
"09/17/2023","3.00","3.07","3.20","2.99","27.92M","-2.24%"
"09/10/2023","3.07","3.12","3.14","2.98","22.82M","-0.85%"
"09/03/2023","3.09","3.22","3.31","3.05","58.54M","-2.98%"
"08/27/2023","3.19","3.37","3.48","3.15","58.82M","-4.58%"
"08/20/2023","3.34","3.08","3.51","3.07","119.03M","9.52%"
"08/13/2023","3.05","2.90","3.23","2.90","96.75M","5.47%"
"08/06/2023","2.89","2.88","2.96","2.86","33.94M","0.74%"
"07/30/2023","2.87","2.96","3.03","2.86","12.89M","-3.03%"
"07/23/2023","2.96","3.02","3.06","2.85","9.27M","-1.58%"
"07/16/2023","3.01","2.88","3.04","2.57","11.02M","5.56%"
"07/09/2023","2.85","2.90","2.90","2.60","10.05M","-1.28%"
"07/02/2023","2.89","3.03","3.05","2.88","6.97M","-4.04%"
"06/25/2023","3.01","3.07","3.09","2.95","5.89M","-1.55%"
"06/18/2023","3.06","3.24","3.26","3.03","17.36M","-4.61%"
"06/11/2023","3.20","3.10","3.27","3.10","30.98M","3.23%"
"06/04/2023","3.10","3.26","3.32","3.09","50.24M","-3.61%"
"05/28/2023","3.22","3.01","3.36","2.99","115.50M","7.77%"
"05/21/2023","2.99","2.93","3.06","2.87","18.18M","3.10%"
"05/14/2023","2.90","3.06","3.09","2.84","28.11M","-4.85%"
"05/07/2023","3.05","3.14","3.24","3.01","48.66M","-2.86%"
"04/30/2023","3.14","3.38","3.44","3.09","45.63M","-6.46%"
"04/23/2023","3.35","3.34","3.41","3.27","30.61M","1.76%"
"04/16/2023","3.29","3.30","3.36","3.27","10.77M","0.48%"
"04/09/2023","3.28","3.18","3.37","3.02","67.63M","3.67%"
"04/02/2023","3.16","2.83","3.24","2.81","55.81M","12.17%"
"03/26/2023","2.82","2.99","3.12","2.80","56.02M","-5.32%"
"03/19/2023","2.98","2.87","3.09","2.76","69.42M","4.64%"
