Company,Date,Price,Open,High,Low,Vol.,Change %
Canal Shipping Agencies,2025-02-16,24.22,23.34,24.44,23.08,2220000,5.72
Canal Shipping Agencies,2025-02-23,23.61,24.25,24.77,23.55,1850000,-2.52
Canal Shipping Agencies,2025-03-02,23.14,23.61,24.3,23.0,914900,-1.99
Canal Shipping Agencies,2025-03-09,23.91,23.25,24.58,22.75,3170000,3.33
Canal Shipping Agencies,2025-03-16,23.79,24.0,24.64,23.11,1850000,-0.5
Canal Shipping Agencies,2025-03-23,23.8,23.9,24.25,23.61,1400000,0.04
Canal Shipping Agencies,2025-03-30,23.68,23.7,24.05,23.63,323170,-0.5
Canal Shipping Agencies,2025-04-06,22.32,22.92,22.92,20.0,1320000,-5.74
Canal Shipping Agencies,2025-04-13,23.71,22.41,25.0,22.03,5420000,6.23
Canal Shipping Agencies,2025-04-20,23.52,23.83,23.99,23.36,939080,-0.8
Canal Shipping Agencies,2025-04-27,23.63,23.75,24.3,23.61,1570000,0.47
Canal Shipping Agencies,2025-05-04,27.41,23.7,28.9,23.7,16530000,16.0
Canal Shipping Agencies,2025-05-11,28.51,27.81,29.44,26.12,7090000,4.01
Canal Shipping Agencies,2025-05-18,28.04,28.64,29.25,27.1,6250000,-1.65
Canal Shipping Agencies,2025-05-25,26.81,28.04,28.39,26.8,3180000,-4.39
Canal Shipping Agencies,2025-06-01,27.79,27.0,27.99,26.4,2590000,3.66
Canal Shipping Agencies,2025-06-08,33.45,27.81,35.3,27.81,14270000,20.37
Canal Shipping Agencies,2025-06-15,31.07,30.0,34.85,29.35,9880000,-7.12
Canal Shipping Agencies,2025-06-22,35.74,30.3,35.99,29.72,9290000,15.03
Canal Shipping Agencies,2025-06-29,32.88,35.84,36.65,32.22,6160000,-8.0
Canal Shipping Agencies,2025-07-06,31.55,32.98,33.4,31.53,1730000,-4.05
Canal Shipping Agencies,2025-07-13,31.31,31.6,32.3,30.72,2250000,-0.76
Canal Shipping Agencies,2025-07-20,31.32,31.55,32.0,31.0,1710000,0.03
Canal Shipping Agencies,2025-07-27,29.17,31.35,31.75,29.05,1950000,-6.86
Canal Shipping Agencies,2025-08-03,28.89,29.17,29.98,28.31,1260000,-0.96
Canal Shipping Agencies,2025-08-10,29.35,28.86,32.75,28.85,4310000,1.59
Canal Shipping Agencies,2025-08-17,29.0,29.35,30.5,29.0,1320000,-1.19
Canal Shipping Agencies,2025-08-24,29.03,29.47,29.6,28.67,1330000,0.1
Canal Shipping Agencies,2025-08-31,30.73,29.29,32.3,29.04,3660000,5.86
Canal Shipping Agencies,2025-09-07,29.53,30.85,31.0,29.51,1060000,-3.9
Canal Shipping Agencies,2025-09-14,28.82,29.87,30.19,28.32,741730,-2.4
Canal Shipping Agencies,2025-09-21,27.9,28.99,29.0,26.47,1570000,-3.19
Canal Shipping Agencies,2025-09-28,29.33,28.39,29.69,28.22,1510000,5.13
Canal Shipping Agencies,2025-10-05,29.17,29.5,30.47,28.85,1370000,-0.55
Canal Shipping Agencies,2025-10-12,30.65,29.7,31.4,29.5,1910000,5.07
Canal Shipping Agencies,2025-10-19,32.26,31.0,36.5,30.6,10820000,5.25
Canal Shipping Agencies,2025-10-26,33.8,32.39,34.4,32.3,3360000,4.77
Canal Shipping Agencies,2025-11-02,35.48,34.0,37.79,33.84,7440000,4.97
Canal Shipping Agencies,2025-11-09,34.43,35.51,35.8,33.81,1510000,-2.96
Canal Shipping Agencies,2025-11-16,34.43,34.43,34.43,34.43,3485000,0.0
Canal Shipping Agencies,2025-11-23,34.8,36.26,36.93,34.61,5460000,1.07
Canal Shipping Agencies,2025-11-30,33.59,34.83,35.5,33.16,1750000,-3.48
Canal Shipping Agencies,2025-12-07,34.71,33.7,35.53,33.7,1430000,3.33
Canal Shipping Agencies,2025-12-14,35.2,35.2,37.35,34.13,8040000,1.41
Canal Shipping Agencies,2025-12-21,34.9,35.3,37.6,34.01,4360000,-0.85
Canal Shipping Agencies,2025-12-28,34.86,34.99,36.0,34.0,1070000,-0.11
Canal Shipping Agencies,2026-01-04,33.91,35.0,35.0,32.5,1680000,-2.73
Canal Shipping Agencies,2026-01-11,29.57,33.9,34.0,29.52,1310000,-12.8
Canal Shipping Agencies,2026-01-18,31.5,30.89,32.87,30.4,3440000,6.53
Canal Shipping Agencies,2026-01-25,30.86,31.5,32.3,30.11,1470000,-2.03
Canal Shipping Agencies,2026-02-01,33.4,30.9,35.0,30.0,2960000,8.23
Canal Shipping Agencies,2026-02-08,32.22,33.5,34.0,31.8,866940,-3.53
Canal Shipping Agencies,2026-02-15,30.33,32.22,32.96,30.3,3150000,-5.87
Canal Shipping Agencies,2026-02-22,29.48,30.35,30.7,28.82,692350,-2.8
Canal Shipping Agencies,2026-03-01,26.8,27.99,28.38,25.7,4630000,-9.09
Canal Shipping Agencies,2026-03-08,28.7,27.24,29.94,26.81,13590000,7.09
Canal Shipping Agencies,2026-03-15,28.0,29.0,29.9,27.61,7010000,-2.44
Canal Shipping Agencies,2026-03-22,28.52,28.17,29.35,28.05,4960000,1.86
Canal Shipping Agencies,2026-03-29,27.98,28.49,28.49,27.4,2690000,-1.89
Commercial Int Bank,2017-01-01,26.76,26.45,26.98,25.87,8710000,1.01
Commercial Int Bank,2017-01-08,27.64,26.92,28.2,26.46,16650000,3.28
Commercial Int Bank,2017-01-15,27.49,27.5,28.73,27.19,11470000,-0.55
Commercial Int Bank,2017-01-22,28.04,27.28,28.59,26.84,14200000,1.99
Commercial Int Bank,2017-01-29,27.93,27.94,28.61,27.38,16810000,-0.4
Commercial Int Bank,2017-02-05,29.09,27.91,29.84,27.86,13880000,4.15
Commercial Int Bank,2017-02-12,27.97,29.09,29.09,27.16,16280000,-3.83
Commercial Int Bank,2017-02-19,26.72,27.88,27.92,26.43,18130000,-4.48
Commercial Int Bank,2017-02-26,26.78,26.83,27.05,25.79,17940000,0.24
Commercial Int Bank,2017-03-05,27.74,27.01,27.99,26.51,12790000,3.57
Commercial Int Bank,2017-03-12,28.43,27.91,28.93,27.37,13490000,2.48
Commercial Int Bank,2017-03-19,27.93,28.82,28.97,27.38,14120000,-1.76
Commercial Int Bank,2017-03-26,27.38,27.59,28.16,27.19,10900000,-1.95
Commercial Int Bank,2017-04-02,28.28,27.25,29.0,26.98,15500000,3.26
Commercial Int Bank,2017-04-09,27.9,27.96,28.43,27.48,6690000,-1.33
Commercial Int Bank,2017-04-16,27.83,28.03,28.2,27.56,4280000,-0.23
Commercial Int Bank,2017-04-23,26.79,27.56,27.74,26.45,9610000,-3.74
Commercial Int Bank,2017-04-30,27.36,26.56,27.5,26.29,8010000,2.12
Commercial Int Bank,2017-05-07,27.89,27.08,28.26,27.08,13530000,1.92
Commercial Int Bank,2017-05-14,27.93,27.92,28.3,27.62,9470000,0.14
Commercial Int Bank,2017-05-21,28.72,28.1,29.01,27.47,17370000,2.83
Commercial Int Bank,2017-05-28,30.39,28.64,30.64,28.64,27870000,5.83
Commercial Int Bank,2017-06-04,30.65,30.28,31.0,30.11,16530000,0.85
Commercial Int Bank,2017-06-11,29.61,30.53,30.54,29.55,18670000,-3.41
Commercial Int Bank,2017-06-18,29.36,29.55,29.8,29.19,14840000,-0.83
Commercial Int Bank,2017-06-25,28.99,29.37,29.37,28.47,5270000,-1.26
Commercial Int Bank,2017-07-02,29.38,29.01,29.73,28.97,13410000,1.34
Commercial Int Bank,2017-07-09,31.59,29.37,31.83,29.01,15660000,7.52
Commercial Int Bank,2017-07-16,31.52,31.54,32.2,30.81,14870000,-0.21
Commercial Int Bank,2017-07-23,30.89,31.54,31.72,30.78,10050000,-2.01
Commercial Int Bank,2017-07-30,30.17,30.93,31.0,29.95,13540000,-2.32
Commercial Int Bank,2017-08-06,30.38,30.27,31.18,29.98,7690000,0.69
Commercial Int Bank,2017-08-13,29.4,30.27,30.27,29.3,11160000,-3.2
Commercial Int Bank,2017-08-20,29.49,29.39,29.73,29.02,7440000,0.28
Commercial Int Bank,2017-08-27,30.55,29.39,30.71,29.19,7130000,3.59
Commercial Int Bank,2017-09-03,30.04,30.53,30.81,29.73,8550000,-1.67
Commercial Int Bank,2017-09-10,29.77,29.93,30.13,29.36,12870000,-0.88
Commercial Int Bank,2017-09-17,29.81,29.91,30.02,29.48,16160000,0.15
Commercial Int Bank,2017-09-24,29.59,29.62,29.81,29.3,14360000,-0.74
Commercial Int Bank,2017-10-01,28.81,29.56,29.95,28.39,13720000,-2.63
Commercial Int Bank,2017-10-08,28.23,28.73,29.11,27.81,16940000,-2.03
Commercial Int Bank,2017-10-15,27.64,28.28,28.53,27.16,18670000,-2.11
Commercial Int Bank,2017-10-22,27.68,27.66,28.47,27.46,11430000,0.16
Commercial Int Bank,2017-10-29,28.33,27.56,28.82,27.48,15000000,2.36
Commercial Int Bank,2017-11-05,28.24,28.28,28.41,27.52,13160000,-0.31
Commercial Int Bank,2017-11-12,26.63,28.44,28.44,26.4,13720000,-5.7
Commercial Int Bank,2017-11-19,26.69,26.54,26.98,26.41,11160000,0.2
Commercial Int Bank,2017-11-26,27.32,26.59,27.55,26.11,18340000,2.35
Commercial Int Bank,2017-12-03,26.37,27.56,27.92,26.29,19150000,-3.48
Commercial Int Bank,2017-12-10,26.9,26.47,26.98,26.15,26380000,2.02
Commercial Int Bank,2017-12-17,26.84,26.69,26.94,26.11,11270000,-0.23
Commercial Int Bank,2017-12-24,28.09,26.98,28.28,26.83,8750000,4.66
Commercial Int Bank,2017-12-31,27.42,28.01,28.21,27.19,6940000,-2.36
Commercial Int Bank,2018-01-07,28.98,27.56,29.44,27.56,17010000,5.68
Commercial Int Bank,2018-01-14,28.69,28.82,28.93,28.04,10240000,-1.03
Commercial Int Bank,2018-01-21,28.45,28.69,28.97,27.74,10800000,-0.82
Commercial Int Bank,2018-01-28,28.62,28.82,29.62,26.29,18630000,0.59
Commercial Int Bank,2018-02-04,27.63,28.35,28.35,26.65,9930000,-3.45
Commercial Int Bank,2018-02-11,27.17,27.56,27.92,26.4,12110000,-1.67
Commercial Int Bank,2018-02-18,28.68,27.37,28.83,26.83,20910000,5.54
Commercial Int Bank,2018-02-25,27.92,28.72,28.82,27.87,24270000,-2.64
Commercial Int Bank,2018-03-04,30.88,28.1,31.13,27.95,26240000,10.62
Commercial Int Bank,2018-03-11,32.21,30.64,33.18,30.11,45300000,4.31
Commercial Int Bank,2018-03-18,31.67,32.64,33.39,31.41,15230000,-1.69
Commercial Int Bank,2018-03-25,32.27,31.67,32.63,31.47,9700000,1.9
Commercial Int Bank,2018-04-01,31.85,32.58,32.58,31.38,23280000,-1.31
Commercial Int Bank,2018-04-08,31.5,31.91,32.74,31.18,7560000,-1.09
Commercial Int Bank,2018-04-15,32.4,31.22,32.63,31.22,8430000,2.85
Commercial Int Bank,2018-04-22,34.44,32.27,34.99,32.18,9090000,6.3
Commercial Int Bank,2018-04-29,33.75,34.44,34.63,33.54,7980000,-2.01
Commercial Int Bank,2018-05-06,31.83,33.37,34.4,31.36,8450000,-5.69
Commercial Int Bank,2018-05-13,31.57,32.12,32.45,31.38,6870000,-0.8
Commercial Int Bank,2018-05-20,30.89,31.91,31.91,30.45,8490000,-2.17
Commercial Int Bank,2018-05-27,30.54,30.96,32.09,29.01,23110000,-1.12
Commercial Int Bank,2018-06-03,31.04,31.36,31.69,29.01,13980000,1.61
Commercial Int Bank,2018-06-10,31.51,31.18,31.85,30.31,18170000,1.53
Commercial Int Bank,2018-06-17,31.08,31.18,31.18,30.45,6750000,-1.36
Commercial Int Bank,2018-06-24,30.92,31.29,31.53,30.6,11620000,-0.52
Commercial Int Bank,2018-07-01,30.75,30.82,31.36,30.64,4700000,-0.55
Commercial Int Bank,2018-07-08,30.28,30.98,31.13,29.92,6210000,-1.53
Commercial Int Bank,2018-07-15,29.14,30.09,30.53,28.93,16450000,-3.75
Commercial Int Bank,2018-07-22,29.38,29.19,30.42,29.01,6690000,0.8
Commercial Int Bank,2018-07-29,31.14,29.39,31.37,29.39,14390000,6.01
Commercial Int Bank,2018-08-05,31.02,30.58,31.19,30.3,5810000,-0.4
Commercial Int Bank,2018-08-12,30.61,30.53,31.17,30.53,6100000,-1.31
Commercial Int Bank,2018-08-19,30.44,30.5,30.6,30.35,346980,-0.56
Commercial Int Bank,2018-08-26,31.79,30.35,32.09,29.05,9910000,4.42
Commercial Int Bank,2018-09-02,31.14,31.91,31.91,30.67,10600000,-2.02
Commercial Int Bank,2018-09-09,30.68,31.01,31.28,30.49,8820000,-1.5
Commercial Int Bank,2018-09-16,29.36,30.46,30.46,28.73,11410000,-4.28
Commercial Int Bank,2018-09-23,30.18,29.73,30.46,28.82,8750000,2.77
Commercial Int Bank,2018-09-30,29.53,30.46,30.46,29.33,10910000,-2.13
Commercial Int Bank,2018-10-07,28.82,29.37,29.46,28.5,13760000,-2.43
Commercial Int Bank,2018-10-14,29.54,29.19,30.22,28.83,12840000,2.52
Commercial Int Bank,2018-10-21,29.01,29.19,30.2,28.86,8570000,-1.82
Commercial Int Bank,2018-10-28,29.01,29.01,29.54,28.19,14030000,0.03
Commercial Int Bank,2018-11-04,29.72,29.01,29.89,28.64,9050000,2.42
Commercial Int Bank,2018-11-11,29.51,29.55,29.59,28.97,18050000,-0.71
Commercial Int Bank,2018-11-18,28.81,29.73,30.27,28.64,10980000,-2.35
Commercial Int Bank,2018-11-25,27.05,28.19,28.19,26.2,38800000,-6.12
Commercial Int Bank,2018-12-02,25.17,27.19,27.19,24.54,20720000,-6.96
Commercial Int Bank,2018-12-09,26.57,24.84,26.83,24.29,26510000,5.57
Commercial Int Bank,2018-12-16,27.58,26.54,27.83,25.95,15360000,3.79
Commercial Int Bank,2018-12-23,26.57,27.61,27.61,25.95,4760000,-3.67
Commercial Int Bank,2018-12-30,27.66,26.61,27.85,26.47,6100000,4.11
Commercial Int Bank,2019-01-06,26.86,27.91,27.97,26.56,11340000,-2.88
Commercial Int Bank,2019-01-13,28.86,27.2,29.01,26.94,11270000,7.42
Commercial Int Bank,2019-01-20,29.91,28.91,30.46,28.64,9860000,3.66
Commercial Int Bank,2019-01-27,30.1,30.18,30.89,29.77,13830000,0.64
Commercial Int Bank,2019-02-03,32.24,30.44,32.6,30.27,10940000,7.08
Commercial Int Bank,2019-02-10,33.49,32.39,33.72,31.92,16020000,3.88
Commercial Int Bank,2019-02-17,33.6,33.56,34.62,33.27,14610000,0.34
Commercial Int Bank,2019-02-24,31.81,33.46,33.54,31.38,19890000,-5.34
Commercial Int Bank,2019-03-03,31.92,31.92,32.63,30.89,12450000,0.36
Commercial Int Bank,2019-03-10,31.51,32.0,32.4,31.27,20280000,-1.28
Commercial Int Bank,2019-03-17,30.94,31.55,31.84,30.43,10750000,-1.83
Commercial Int Bank,2019-03-24,30.89,31.26,31.27,29.98,15700000,-0.16
Commercial Int Bank,2019-03-31,33.55,31.05,33.88,30.76,18700000,8.63
Commercial Int Bank,2019-04-07,33.68,33.76,33.79,32.86,14270000,0.39
Commercial Int Bank,2019-04-14,33.04,33.84,33.9,32.86,8500000,-1.9
Commercial Int Bank,2019-04-21,33.79,33.08,34.04,33.08,5310000,2.25
Commercial Int Bank,2019-04-28,34.36,33.97,34.85,33.97,9990000,1.7
Commercial Int Bank,2019-05-05,33.29,33.99,34.45,32.66,9140000,-3.11
Commercial Int Bank,2019-05-12,31.99,33.48,33.48,31.72,9120000,-3.92
Commercial Int Bank,2019-05-19,31.65,32.62,32.62,31.23,8170000,-1.05
Commercial Int Bank,2019-05-26,32.49,31.66,32.74,31.66,13930000,2.65
Commercial Int Bank,2019-06-02,32.56,32.19,32.61,32.06,2440000,0.21
Commercial Int Bank,2019-06-09,33.53,32.68,33.65,32.19,12080000,2.99
Commercial Int Bank,2019-06-16,33.69,33.27,34.13,33.27,15660000,0.47
Commercial Int Bank,2019-06-23,33.44,33.76,33.99,33.08,10340000,-0.74
Commercial Int Bank,2019-06-30,33.19,33.45,33.58,32.99,2610000,-0.75
Commercial Int Bank,2019-07-07,33.04,33.28,33.83,32.74,5670000,-0.45
Commercial Int Bank,2019-07-14,32.69,33.08,33.54,32.02,9810000,-1.07
Commercial Int Bank,2019-07-21,32.59,32.59,33.08,32.18,3380000,-0.32
Commercial Int Bank,2019-07-28,33.1,32.5,33.54,31.84,6570000,1.57
Commercial Int Bank,2019-08-04,33.96,33.08,34.21,33.08,10700000,2.62
Commercial Int Bank,2019-08-11,34.2,33.99,35.17,33.88,9750000,0.71
Commercial Int Bank,2019-08-18,34.12,34.0,34.63,33.99,9790000,-0.25
Commercial Int Bank,2019-08-25,36.34,34.44,36.71,33.95,21760000,6.51
Commercial Int Bank,2019-09-01,36.88,36.28,37.66,36.26,13460000,1.48
Commercial Int Bank,2019-09-08,37.25,36.88,37.44,36.33,16680000,1.0
Commercial Int Bank,2019-09-15,36.44,36.95,37.3,36.26,31260000,-2.17
Commercial Int Bank,2019-09-22,34.82,36.48,36.48,31.95,34070000,-4.45
Commercial Int Bank,2019-09-29,35.77,35.35,36.36,34.89,17020000,2.75
Commercial Int Bank,2019-10-06,36.21,36.1,36.48,35.7,7510000,1.23
Commercial Int Bank,2019-10-13,35.75,36.26,36.26,35.58,5420000,-1.26
Commercial Int Bank,2019-10-20,35.92,36.01,36.3,35.63,4330000,0.47
Commercial Int Bank,2019-10-27,36.71,36.03,36.93,35.58,10020000,2.2
Commercial Int Bank,2019-11-03,38.14,36.71,38.52,36.46,11910000,3.9
Commercial Int Bank,2019-11-10,37.34,38.3,38.3,37.14,10780000,-2.09
Commercial Int Bank,2019-11-17,36.0,37.62,37.8,35.74,11430000,-3.6
Commercial Int Bank,2019-11-24,35.71,35.8,35.96,34.9,24480000,-0.79
Commercial Int Bank,2019-12-01,35.56,35.44,35.96,35.04,13950000,-0.42
Commercial Int Bank,2019-12-08,35.27,35.35,35.48,34.97,22240000,-0.83
Commercial Int Bank,2019-12-15,36.99,35.12,37.17,35.0,23350000,4.87
Commercial Int Bank,2019-12-22,37.59,36.94,37.68,36.58,9970000,1.64
Commercial Int Bank,2019-12-29,37.66,37.18,37.85,36.97,6370000,0.18
Commercial Int Bank,2020-01-05,37.93,37.16,38.12,36.3,14630000,0.71
Commercial Int Bank,2020-01-12,38.31,38.05,38.52,37.32,22280000,0.99
Commercial Int Bank,2020-01-19,38.58,38.3,39.47,38.1,8730000,0.72
Commercial Int Bank,2020-01-26,38.56,38.52,38.93,38.14,9560000,-0.06
Commercial Int Bank,2020-02-02,39.39,38.52,39.42,38.52,12340000,2.15
Commercial Int Bank,2020-02-09,38.73,39.38,39.43,38.52,10310000,-1.67
Commercial Int Bank,2020-02-16,38.99,38.88,39.2,38.52,16120000,0.66
Commercial Int Bank,2020-02-23,37.42,38.66,39.02,37.05,15460000,-4.02
Commercial Int Bank,2020-03-01,34.91,35.8,36.16,33.99,20140000,-6.71
Commercial Int Bank,2020-03-08,31.76,34.64,34.64,29.98,20930000,-9.01
Commercial Int Bank,2020-03-15,27.66,31.04,31.04,23.2,51440000,-12.91
Commercial Int Bank,2020-03-22,28.34,28.64,31.72,27.65,40380000,2.47
Commercial Int Bank,2020-03-29,25.97,28.03,28.03,25.83,33330000,-8.38
Commercial Int Bank,2020-04-05,29.69,25.73,29.91,25.27,37390000,14.33
Commercial Int Bank,2020-04-12,28.01,29.75,29.91,27.83,50310000,-5.66
Commercial Int Bank,2020-04-19,27.66,27.76,27.87,26.51,58390000,-1.26
Commercial Int Bank,2020-04-26,28.98,27.92,29.46,27.76,41480000,4.8
Commercial Int Bank,2020-05-03,28.64,28.78,28.87,27.65,31140000,-1.19
Commercial Int Bank,2020-05-10,29.05,28.96,30.14,28.54,27390000,1.44
Commercial Int Bank,2020-05-17,28.33,29.35,29.68,28.19,25510000,-2.48
Commercial Int Bank,2020-05-31,29.9,28.61,30.81,28.24,36030000,5.55
Commercial Int Bank,2020-06-07,30.59,30.83,31.84,30.5,18760000,2.29
Commercial Int Bank,2020-06-14,30.8,30.41,31.49,29.83,44210000,0.7
Commercial Int Bank,2020-06-21,30.22,30.71,30.95,29.87,14610000,-1.9
Commercial Int Bank,2020-06-28,29.25,30.14,30.14,29.03,12510000,-3.19
Commercial Int Bank,2020-07-05,30.05,29.9,30.59,29.45,48330000,2.74
Commercial Int Bank,2020-07-12,28.53,30.13,30.37,28.1,12970000,-5.07
Commercial Int Bank,2020-07-19,28.58,28.38,29.45,27.33,22290000,0.16
Commercial Int Bank,2020-07-26,28.54,28.55,28.98,28.1,15100000,-0.11
Commercial Int Bank,2020-08-02,29.03,28.55,29.21,28.1,15440000,1.7
Commercial Int Bank,2020-08-09,29.23,29.21,29.87,28.61,14850000,0.69
Commercial Int Bank,2020-08-16,30.08,29.23,30.27,29.23,21910000,2.92
Commercial Int Bank,2020-08-23,31.12,30.24,31.27,30.22,34760000,3.47
Commercial Int Bank,2020-08-30,30.21,31.13,31.13,29.97,9720000,-2.94
Commercial Int Bank,2020-09-06,30.65,29.92,30.8,29.84,8380000,1.47
Commercial Int Bank,2020-09-13,30.53,30.64,31.03,30.37,13710000,-0.4
Commercial Int Bank,2020-09-20,30.36,30.04,30.81,29.91,9200000,-0.56
Commercial Int Bank,2020-09-27,30.21,30.49,30.59,30.1,12130000,-0.49
Commercial Int Bank,2020-10-04,30.98,30.12,31.11,29.91,7230000,2.57
Commercial Int Bank,2020-10-11,30.69,31.0,31.05,30.46,12550000,-0.94
Commercial Int Bank,2020-10-18,30.18,30.64,30.64,30.08,5670000,-1.65
Commercial Int Bank,2020-10-25,27.67,27.24,28.55,27.17,42230000,-8.33
Commercial Int Bank,2020-11-01,28.67,27.63,28.82,27.42,19480000,3.6
Commercial Int Bank,2020-11-08,29.37,28.6,29.87,28.55,25130000,2.45
Commercial Int Bank,2020-11-15,28.39,29.44,29.44,28.3,14860000,-3.32
Commercial Int Bank,2020-11-22,28.41,28.33,28.99,28.01,14170000,0.05
Commercial Int Bank,2020-11-29,28.4,28.46,28.77,28.1,25240000,-0.03
Commercial Int Bank,2020-12-06,28.37,28.17,28.55,28.17,8760000,-0.1
Commercial Int Bank,2020-12-13,27.66,28.33,28.5,27.42,20480000,-2.52
Commercial Int Bank,2020-12-20,27.13,27.45,27.65,26.78,17390000,-1.9
Commercial Int Bank,2020-12-27,26.83,27.13,27.13,26.53,8060000,-1.12
Commercial Int Bank,2021-01-03,26.83,26.92,27.08,26.51,9790000,0.03
Commercial Int Bank,2021-01-10,28.79,27.17,28.91,27.17,27250000,7.3
Commercial Int Bank,2021-01-17,29.13,28.55,29.32,28.43,7570000,1.18
Commercial Int Bank,2021-01-24,28.54,29.01,29.19,28.33,5630000,-2.02
Commercial Int Bank,2021-01-31,28.65,28.55,28.78,27.7,12910000,0.38
Commercial Int Bank,2021-02-07,27.58,28.55,28.56,27.47,8970000,-3.73
Commercial Int Bank,2021-02-14,27.22,27.65,28.01,27.13,7550000,-1.33
Commercial Int Bank,2021-02-21,28.26,27.57,28.42,27.16,13480000,3.85
Commercial Int Bank,2021-02-28,27.61,28.28,28.33,27.31,9300000,-2.29
Commercial Int Bank,2021-03-07,27.65,28.55,28.55,27.33,10790000,0.11
Commercial Int Bank,2021-03-14,27.47,27.65,28.05,27.12,15530000,-0.64
Commercial Int Bank,2021-03-21,27.6,27.47,27.65,26.34,11530000,0.48
Commercial Int Bank,2021-03-28,25.91,27.51,27.65,25.77,26460000,-6.11
Commercial Int Bank,2021-04-04,24.96,26.29,26.29,24.47,12810000,-3.67
Commercial Int Bank,2021-04-11,24.63,24.97,25.28,23.88,27390000,-1.33
Commercial Int Bank,2021-04-18,26.49,24.93,27.08,24.93,11710000,7.56
Commercial Int Bank,2021-04-25,26.4,26.29,27.19,25.83,11900000,-0.34
Commercial Int Bank,2021-05-02,26.93,26.44,27.1,25.84,3650000,1.99
Commercial Int Bank,2021-05-09,27.21,27.08,27.42,26.74,4600000,1.04
Commercial Int Bank,2021-05-16,25.82,26.7,26.74,25.47,22320000,-5.1
Commercial Int Bank,2021-05-23,24.21,26.06,26.69,23.97,68710000,-6.27
Commercial Int Bank,2021-05-30,23.69,24.22,24.88,23.44,23560000,-2.13
Commercial Int Bank,2021-06-06,22.52,23.97,24.02,22.41,23930000,-4.92
Commercial Int Bank,2021-06-13,22.3,22.57,22.96,22.07,20260000,-0.99
Commercial Int Bank,2021-06-20,23.48,22.21,23.68,22.12,19740000,5.28
Commercial Int Bank,2021-06-27,23.64,23.48,23.79,22.71,10830000,0.69
Commercial Int Bank,2021-07-04,24.56,23.79,24.92,23.57,17000000,3.85
Commercial Int Bank,2021-07-11,25.61,24.6,25.74,24.35,27740000,4.3
Commercial Int Bank,2021-07-18,26.03,25.74,26.2,25.61,2310000,1.65
Commercial Int Bank,2021-07-25,25.88,26.06,26.29,25.52,12800000,-0.59
Commercial Int Bank,2021-08-01,26.2,26.06,26.51,25.97,11420000,1.23
Commercial Int Bank,2021-08-08,27.25,26.29,27.64,26.11,9750000,4.03
Commercial Int Bank,2021-08-15,27.43,27.65,28.88,26.92,11290000,0.65
Commercial Int Bank,2021-08-22,28.51,27.34,28.7,26.89,9710000,3.94
Commercial Int Bank,2021-08-29,28.69,28.4,28.79,27.79,11810000,0.64
Commercial Int Bank,2021-09-05,27.78,28.67,28.67,27.78,5220000,-3.16
Commercial Int Bank,2021-09-12,26.77,27.8,27.95,26.77,16400000,-3.65
Commercial Int Bank,2021-09-19,26.22,26.89,27.4,25.92,7170000,-2.05
Commercial Int Bank,2021-09-26,25.78,26.59,26.59,24.78,13730000,-1.68
Commercial Int Bank,2021-10-03,25.98,25.8,26.17,25.14,15000000,0.8
Commercial Int Bank,2021-10-10,27.8,25.98,28.04,25.98,23860000,6.98
Commercial Int Bank,2021-10-17,28.55,27.8,29.24,27.8,25870000,2.72
Commercial Int Bank,2021-10-24,30.82,28.55,31.12,28.4,25120000,7.96
Commercial Int Bank,2021-10-31,32.33,30.75,32.72,30.23,36680000,4.88
Commercial Int Bank,2021-11-07,31.95,32.32,32.61,31.32,13980000,-1.16
Commercial Int Bank,2021-11-14,31.41,32.03,32.44,31.11,19890000,-1.7
Commercial Int Bank,2021-11-21,31.13,31.47,31.98,30.87,13510000,-0.9
Commercial Int Bank,2021-11-28,30.78,30.82,31.3,30.34,30400000,-1.11
Commercial Int Bank,2021-12-05,31.11,31.04,31.58,30.7,17360000,1.08
Commercial Int Bank,2021-12-12,30.94,31.2,32.08,30.94,20980000,-0.56
Commercial Int Bank,2021-12-19,31.18,31.18,31.25,30.49,27610000,0.78
Commercial Int Bank,2021-12-26,32.02,31.29,32.21,31.29,14170000,2.69
Commercial Int Bank,2022-01-02,31.94,32.33,32.33,31.76,6170000,-0.26
Commercial Int Bank,2022-01-09,32.45,31.94,32.63,31.72,17380000,1.61
Commercial Int Bank,2022-01-16,31.72,32.33,32.51,30.88,12770000,-2.23
Commercial Int Bank,2022-01-23,31.33,31.72,31.97,31.12,14620000,-1.24
Commercial Int Bank,2022-01-30,31.18,31.42,31.48,31.02,11260000,-0.48
Commercial Int Bank,2022-02-06,30.8,31.16,31.6,30.52,13760000,-1.22
Commercial Int Bank,2022-02-13,30.82,30.82,31.33,29.92,12270000,0.06
Commercial Int Bank,2022-02-20,28.4,30.52,31.21,28.01,15390000,-7.84
Commercial Int Bank,2022-02-27,28.7,29.01,29.55,28.31,24510000,1.06
Commercial Int Bank,2022-03-06,24.78,27.8,28.08,23.8,61050000,-13.68
Commercial Int Bank,2022-03-13,26.11,24.78,26.2,24.73,49750000,5.37
Commercial Int Bank,2022-03-20,29.65,26.14,30.82,26.14,29970000,13.59
Commercial Int Bank,2022-03-27,27.91,29.71,29.73,27.43,23280000,-5.87
Commercial Int Bank,2022-04-03,27.28,28.1,29.28,27.19,29170000,-2.25
